DURATION,GOAL_DESC,SEASON,DATE_TIME,HOME_TEAM,AWAY_TEAM,STADIUM,POSITION,HEIGHT,WEIGHT,FOOT,GOAL_SCORER,GOAL_SCORER_TEAM_NAME,ASSIST_PLAYER,GOALS,ASSISTS
40,header,2020-2021,44299,Paris Saint-Germain,Bayern München,Parc des Princes,Forward,191,90,R,Eric Maxim Choupo-Moting,Bayern München,N/A,1,0
44,right-footed shot,2019-2020,44051,Bayern München,Chelsea FC,Allianz Arena,Forward,190,80,R,Tammy Abraham,Chelsea FC,N/A,1,0
37,own goal,2017-2018,43193,Sevilla FC,Bayern München,Ramón Sánchez Pizjuán,Defender,172,60,R,Jesús Navas,Sevilla FC,N/A,1,0
54,right-footed shot,2018-2019,43592,Liverpool FC,FC Barcelona,Anfield,Midfielder,175,69,R,Georginio Wijnaldum,Liverpool FC,Trent Alexander-Arnold,2,2
79,right-footed shot,2018-2019,43592,Liverpool FC,FC Barcelona,Anfield,Forward,185,75,R,Divock Origi,Liverpool FC,Trent Alexander-Arnold,2,2
25,left-footed shot,2019-2020,43740,Liverpool FC,RB Salzburg,Anfield,Defender,178,64,L,Andrew Robertson,Liverpool FC,Trent Alexander-Arnold,1,1
15,left-footed shot,2021-2022,44454,Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Midfielder,182,71,R,Ander Herrera,Paris Saint-Germain,Kylian Mbappé,1,1
41,left-footed shot,2017-2018,43060,Beşiktaş,FC Porto,Vodafone Park,Midfielder,188,74,R,Anderson Talisca,,Cenk Tosun,1,1
22,left-footed shot,2016-2017,42836,Juventus,FC Barcelona,Allianz Stadium,Forward,177,75,L,Paulo Dybala,Juventus,N/A,2,0
85,right-footed shot,2020-2021,44293,FC Porto,Chelsea FC,Ramón Sánchez Pizjuán,Defender,180,78,L,Ben Chilwell,Chelsea FC,N/A,1,0
71,right-footed shot,2017-2018,43165,Paris Saint-Germain,Real Madrid,Parc des Princes,Forward,184,77,R,Edinson Cavani,Paris Saint-Germain,N/A,1,0
59,left-footed shot,2018-2019,43593,AFC Ajax,Tottenham Hotspur,Johan Cruijff ArenA,Forward,172,70,R,Lucas Moura,Tottenham Hotspur,N/A,3,0
26,right-footed shot,2018-2019,43564,Liverpool FC,FC Porto,Anfield,Forward,181,76,R,Roberto Firmino,Liverpool FC,Trent Alexander-Arnold,1,1
55,right-footed shot,2020-2021,44131,Liverpool FC,FC Midtjylland,Anfield,Forward,178,70,R,Diogo Jota,Liverpool FC,Trent Alexander-Arnold,1,1
16,left-footed shot,2020-2021,44138,Atalanta,Liverpool FC,Gewiss Stadium,Forward,178,70,R,Diogo Jota,Liverpool FC,Trent Alexander-Arnold,3,1
35,right-footed shot,2016-2017,42676,Legia Warszawa,Real Madrid,Stadion Wojska Polskiego,Forward,185,81,R,Karim Benzema,Real Madrid,Gareth Bale,1,1
17,right-footed shot,2016-2017,42640,Borussia Dortmund,Real Madrid,Signal Iduna Park,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Gareth Bale,1,1
64,right-footed shot,2017-2018,43166,Tottenham Hotspur,Juventus,Wembley Stadium,Forward,186,85,,Gonzalo Higuaín,Juventus,N/A,1,0
66,left-footed shot,2019-2020,43880,Atalanta,Valencia CF,Giuseppe Meazza,Forward,179,74,L,Denis Cheryshev,Valencia CF,N/A,1,0
76,left-footed shot,2018-2019,43508,AS Roma,FC Porto,Olimpico,Forward,190,79,L,Nicolò Zaniolo,AS Roma,N/A,2,0
28,right-footed shot,2021-2022,44488,Paris Saint-Germain,RB Leipzig,Parc des Princes,Forward,185,84,R,André Silva,RB Leipzig,Angeliño,1,2
57,right-footed shot,2021-2022,44488,Paris Saint-Germain,RB Leipzig,Parc des Princes,Defender,187,84,R,Nordi Mukiele,RB Leipzig,Angeliño,1,2
12,right-footed shot,2017-2018,42991,Real Madrid,APOEL Nikosia,Santiago Bernabéu,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Gareth Bale,2,1
50,left-footed shot,2017-2018,43004,Borussia Dortmund,Real Madrid,Signal Iduna Park,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Gareth Bale,2,1
42,penalty,2020-2021,44174,Paris Saint-Germain,İstanbul Başakşehir,Parc des Princes,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Neymar,2,1
37,header,2018-2019,43411,Viktoria Plzeň,Real Madrid,Doosan Arena,Forward,185,81,R,Karim Benzema,Real Madrid,Gareth Bale,2,1
55,left-footed shot,2018-2019,43396,Real Madrid,Viktoria Plzeň,Santiago Bernabéu,Defender,174,75,L,Marcelo,Real Madrid,Gareth Bale,3,3
55,left-footed shot,2018-2019,43396,Real Madrid,Viktoria Plzeň,Santiago Bernabéu,Defender,174,75,L,Marcelo,Real Madrid,Gareth Bale,3,3
55,left-footed shot,2018-2019,43396,Real Madrid,Viktoria Plzeň,Santiago Bernabéu,Defender,174,75,L,Marcelo,Real Madrid,Gareth Bale,3,3
26,header,2021-2022,44524,Club Brugge KV,RB Leipzig,Jan Breydel Stadion,Forward,185,84,R,André Silva,RB Leipzig,Angeliño,1,1
3,right-footed shot,2020-2021,44293,Bayern München,Paris Saint-Germain,Allianz Arena,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Neymar,2,2
28,right-footed shot,2020-2021,44293,Bayern München,Paris Saint-Germain,Allianz Arena,Defender,183,75,R,Marquinhos,Paris Saint-Germain,Neymar,1,2
87,header,2016-2017,42696,Sporting CP,Real Madrid,Estádio José Alvalade,Forward,185,81,R,Karim Benzema,Real Madrid,Sergio Ramos,1,1
90,right-footed shot,2020-2021,44131,Bor. Mönchengladbach,Real Madrid,Borussia-Park,Midfielder,185,84,R,Casemiro,Real Madrid,Sergio Ramos,1,1
72,free kick,2018-2019,43529,Real Madrid,AFC Ajax,Santiago Bernabéu,Midfielder,178,75,R,Lasse Schöne,AFC Ajax,N/A,1,0
