DURATION,GOAL_DESC,SEASON,DATE_TIME,HOME_TEAM,AWAY_TEAM,STADIUM,POSITION,HEIGHT,WEIGHT,FOOT,GOAL_SCORER,GOAL_SCORER_TEAM_NAME,ASSIST_PLAYER,GOALS,ASSISTS
84,right-footed shot,2016-2017,"Tuesday, October 18, 2016",Real Madrid,Legia Warszawa,Santiago Bernabéu,Forward,187,82,R,Álvaro Morata,Real Madrid,Cristiano Ronaldo,1,2
49,right-footed shot,2016-2017,"Wednesday, February 15, 2017",Real Madrid,SSC Napoli,Santiago Bernabéu,Midfielder,183,76,R,Toni Kroos,Real Madrid,Cristiano Ronaldo,1,1
29,left-footed shot,2016-2017,"Tuesday, November 22, 2016",Sporting CP,Real Madrid,Estádio José Alvalade,Defender,191,81,R,Raphaël Varane,Real Madrid,Cristiano Ronaldo,1,1
49,right-footed shot,2020-2021,"Tuesday, March 9, 2021",Juventus,FC Porto,Allianz Stadium,Forward,175,70,R,Federico Chiesa,Juventus,Cristiano Ronaldo,2,1
45,right-footed shot,2017-2018,"Tuesday, November 21, 2017",APOEL Nikosia,Real Madrid,Neo GSP Stadium,Forward,185,81,R,Karim Benzema,Real Madrid,Cristiano Ronaldo,2,1
22,left-footed shot,2017-2018,"Wednesday, November 22, 2017",Paris Saint-Germain,Celtic FC,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Marco Verratti,2,1
80,right-footed shot,2017-2018,"Tuesday, March 6, 2018",Paris Saint-Germain,Real Madrid,Parc des Princes,Midfielder,185,84,R,Casemiro,Real Madrid,Cristiano Ronaldo,1,1
80,left-footed shot,2018-2019,"Wednesday, December 12, 2018",BSC Young Boys,Juventus,Stadion Wankdorf,Forward,177,75,L,Paulo Dybala,Juventus,Cristiano Ronaldo,1,1
60,right-footed shot,2020-2021,"Wednesday, November 4, 2020",Ferencvárosi TC,Juventus,Puskás Aréna,Forward,187,82,R,Álvaro Morata,Juventus,Cristiano Ronaldo,2,1
4,right-footed shot,2019-2020,"Wednesday, November 6, 2019",Lokomotiv Moskva,Juventus,RŽD-Arena,Midfielder,182,76,,Aaron Ramsey,Juventus,Cristiano Ronaldo,1,1
1,left-footed shot,2016-2017,"Wednesday, November 2, 2016",Legia Warszawa,Real Madrid,Stadion Wojska Polskiego,Forward,185,82,L,Gareth Bale,Real Madrid,Cristiano Ronaldo,1,1
72,left-footed shot,2017-2018,"Tuesday, April 3, 2018",Juventus,Real Madrid,Allianz Stadium,Defender,174,75,L,Marcelo,Real Madrid,Cristiano Ronaldo,2,2
80,left-footed shot,2021-2022,"Wednesday, September 29, 2021",Zenit St. Petersburg,Malmö FF,Gazprom Arena,Forward,188,79,R,Aleksey Sutormin,#N/A,,1,11
63,header,2020-2021,"Tuesday, March 9, 2021",Juventus,FC Porto,Allianz Stadium,Forward,175,70,R,Federico Chiesa,Juventus,Juan Cuadrado,2,1
59,right-footed shot,2018-2019,"Tuesday, November 27, 2018",Juventus,Valencia CF,Allianz Stadium,Midfielder,,,,,#N/A,Cristiano Ronaldo,4,1
66,right-footed shot,2020-2021,"Wednesday, December 2, 2020",Juventus,Dinamo Kiev,Allianz Stadium,Forward,187,82,R,Álvaro Morata,Juventus,Federico Chiesa,1,1
39,right-footed shot,2017-2018,"Tuesday, November 21, 2017",APOEL Nikosia,Real Madrid,Neo GSP Stadium,Forward,185,81,R,Karim Benzema,Real Madrid,Toni Kroos,2,1
90,left-footed shot,2016-2017,"Saturday, June 3, 2017",Juventus,Real Madrid,Millennium,Forward,182,76,L,Marco Asensio,Real Madrid,Marcelo,1,1
110,right-footed shot,2016-2017,"Tuesday, April 18, 2017",Real Madrid,Bayern München,Santiago Bernabéu,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Marcelo,3,1
11,header,2017-2018,"Tuesday, May 1, 2018",Real Madrid,Bayern München,Santiago Bernabéu,Forward,185,81,R,Karim Benzema,Real Madrid,Marcelo,2,1
49,header,2017-2018,"Tuesday, November 21, 2017",APOEL Nikosia,Real Madrid,Neo GSP Stadium,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Marcelo,2,1
7,left-footed shot,2020-2021,"Wednesday, November 4, 2020",Ferencvárosi TC,Juventus,Puskás Aréna,Forward,187,82,R,Álvaro Morata,Juventus,Juan Cuadrado,2,1
79,header,2019-2020,"Tuesday, November 26, 2019",Real Madrid,Paris Saint-Germain,Santiago Bernabéu,Forward,185,81,R,Karim Benzema,Real Madrid,Marcelo,2,1
4,left-footed shot,2019-2020,"Wednesday, November 6, 2019",Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Marcelo,6,4
7,header,2019-2020,"Wednesday, November 6, 2019",Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Marcelo,6,4
4,left-footed shot,2019-2020,"Wednesday, November 6, 2019",Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Marcelo,6,4
7,header,2019-2020,"Wednesday, November 6, 2019",Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Marcelo,6,4
54,right-footed shot,2020-2021,"Wednesday, October 21, 2020",Real Madrid,Shakhtar Donetsk,Alfredo Di Stéfano,Midfielder,172,66,,Luka Modrić,Real Madrid,Marcelo,1,1
90,right-footed shot,2018-2019,"Wednesday, September 19, 2018",Real Madrid,AS Roma,Santiago Bernabéu,Forward,180,76,R,Mariano,Real Madrid,Marcelo,4,4
90,right-footed shot,2018-2019,"Wednesday, September 19, 2018",Real Madrid,AS Roma,Santiago Bernabéu,Forward,180,76,R,Mariano,Real Madrid,Marcelo,4,4
23,header,2021-2022,"Tuesday, September 14, 2021",Malmö FF,Juventus,Nya Malmö Stadion,Defender,180,80,L,Alex Sandro,Juventus,Rodrigo Bentancur,1,1
60,left-footed shot,2021-2022,"Wednesday, September 29, 2021",Manchester United,Villarreal CF,Old Trafford,Defender,181,71,L,Alex Telles,Manchester United,Bruno Fernandes,1,1
64,bicycle kick,2017-2018,"Saturday, May 26, 2018",Real Madrid,Liverpool FC,Olimpiyskyi,Forward,185,82,L,Gareth Bale,Real Madrid,Marcelo,2,2
83,left-footed shot,2017-2018,"Saturday, May 26, 2018",Real Madrid,Liverpool FC,Olimpiyskyi,Forward,185,82,L,Gareth Bale,Real Madrid,Marcelo,2,2
57,right-footed shot,2018-2019,"Tuesday, December 11, 2018",Galatasaray,FC Porto,Nef Stadyumu,Midfielder,181,78,R,Sérgio Oliveira,FC Porto,Hernâni,1,1
82,right-footed shot,2021-2022,"Wednesday, November 3, 2021",FC Sheriff,Inter,Sheriff Stadium,Forward,169,62,R,Alexis Sánchez,Inter,,1,7
83,header,2018-2019,"Tuesday, November 27, 2018",Olympique Lyon,Manchester City,Groupama Stadium,Midfielder,,,,,#N/A,Riyad Mahrez,4,1
62,right-footed shot,2020-2021,"Wednesday, December 9, 2020",Paris Saint-Germain,İstanbul Başakşehir,Parc des Princes,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Ángel Di María,2,2
50,right-footed shot,2020-2021,"Wednesday, December 9, 2020",Paris Saint-Germain,İstanbul Başakşehir,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Ángel Di María,3,2
